City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nara,34.69,135.8,48.2,93,75,6.93,JP,1579737989
1,camacha,33.08,-16.33,59.0,67,40,11.41,PT,1579737992
2,dikson,73.51,80.55,-14.58,94,100,14.32,RU,1579737992
3,isangel,-19.55,169.27,80.6,78,90,3.36,VU,1579737992
4,hobart,-42.88,147.33,61.0,82,75,5.82,AU,1579737993
5,ushuaia,-54.8,-68.3,53.6,58,75,2.37,AR,1579737736
6,mar del plata,-38.0,-57.56,69.8,94,90,6.93,AR,1579737827
7,westport,41.14,-73.36,34.0,59,1,3.36,US,1579737993
8,aksu,41.12,80.26,19.67,78,33,1.83,CN,1579737993
9,lebu,-37.62,-73.65,61.11,74,0,5.91,CL,1579737994
10,gizo,-8.1,156.84,81.77,69,50,7.27,SB,1579737994
11,bongandanga,1.5,21.05,70.41,40,100,2.46,CD,1579737994
12,jamestown,42.1,-79.24,30.99,53,1,9.17,US,1579737787
13,cape town,-33.93,18.42,66.99,59,0,8.05,ZA,1579737901
14,durango,24.83,-104.83,57.94,41,100,10.18,MX,1579737915
15,severo-kurilsk,50.68,156.12,17.65,85,99,14.47,RU,1579737998
16,rocha,-34.48,-54.33,66.13,84,0,8.75,UY,1579737746
17,antequera,37.02,-4.56,57.2,82,75,9.17,ES,1579737998
18,saint george,37.1,-113.58,55.4,57,1,4.7,US,1579737999
19,east london,-33.02,27.91,70.52,77,100,10.09,ZA,1579737999
20,punta arenas,-53.15,-70.92,51.8,71,100,12.75,CL,1579737909
21,mahebourg,-20.41,57.7,79.0,94,75,11.41,MU,1579737999
22,rikitea,-23.12,-134.97,79.27,75,51,11.61,PF,1579737999
23,volodarka,49.52,29.91,31.3,77,89,16.67,UA,1579737762
24,new norfolk,-42.78,147.06,61.0,82,75,5.82,AU,1579738000
25,avera,33.19,-82.53,48.2,48,1,6.6,US,1579738000
26,avarua,-21.21,-159.78,78.8,94,100,8.05,CK,1579738000
27,hermanus,-34.42,19.23,70.0,85,0,8.99,ZA,1579738000
28,shelburne,44.08,-80.2,30.2,68,75,14.99,CA,1579738001
29,caluquembe,-13.78,14.68,62.11,98,100,2.73,AO,1579738001
30,juazeiro,-9.41,-40.5,77.0,94,75,3.36,BR,1579737954
31,lianzhou,24.78,112.38,60.22,88,100,3.74,CN,1579738001
32,butaritari,3.07,172.79,84.63,63,63,4.41,KI,1579738001
33,georgetown,5.41,100.34,78.8,78,20,4.7,MY,1579737940
34,bambous virieux,-20.34,57.76,79.0,94,75,11.41,MU,1579738002
35,albany,42.6,-73.97,28.0,63,1,4.7,US,1579737716
36,urumqi,43.8,87.6,8.6,84,82,1.77,CN,1579738002
37,luderitz,-26.65,15.16,66.2,77,0,2.24,NA,1579738002
38,sobolevo,54.43,31.9,28.81,82,87,17.43,RU,1579738003
39,srednekolymsk,67.45,153.68,-33.2,97,78,7.2,RU,1579738003
40,khatanga,71.97,102.5,-33.36,86,84,8.93,RU,1579738003
41,port alfred,-33.59,26.89,62.01,97,80,8.86,ZA,1579738003
42,puerto ayora,-0.74,-90.35,82.4,65,40,8.05,EC,1579738003
43,ribeira grande,38.52,-28.7,53.55,70,45,9.24,PT,1579738003
44,ancud,-41.87,-73.82,68.0,64,52,9.17,CL,1579738004
45,busselton,-33.65,115.33,71.01,44,76,9.75,AU,1579738004
46,hasaki,35.73,140.83,39.2,86,75,1.12,JP,1579737708
47,lorengau,-2.02,147.27,82.96,77,0,12.48,PG,1579738007
48,nikolskoye,59.7,30.79,28.4,54,20,22.37,RU,1579738007
49,yangambi,0.81,24.43,72.09,52,78,2.39,CD,1579738008
50,maltahohe,-24.83,16.98,63.21,37,0,6.8,NA,1579738008
51,souillac,-20.52,57.52,79.0,94,75,11.41,MU,1579738008
52,mtwara,-10.27,40.18,73.58,88,100,2.06,TZ,1579738008
53,balkhash,46.84,74.98,19.22,98,99,7.61,KZ,1579738008
54,dingzhou,38.51,115.0,21.2,85,58,3.98,CN,1579738009
55,sitka,57.05,-135.33,44.6,65,90,4.7,US,1579737751
56,hithadhoo,-0.6,73.08,84.06,80,26,15.88,MV,1579738003
57,bluff,-46.6,168.33,64.0,73,92,14.0,NZ,1579738009
58,kapaa,22.08,-159.32,79.0,69,1,8.05,US,1579738009
59,puerto escondido,15.85,-97.07,80.6,78,40,6.93,MX,1579738010
60,monrovia,6.3,-10.8,75.2,94,40,5.48,LR,1579738010
61,praia,14.92,-23.51,71.6,78,83,13.87,CV,1579738010
62,iqaluit,63.75,-68.51,-20.0,68,40,2.19,CA,1579738010
63,mataura,-46.19,168.86,64.0,73,93,14.0,NZ,1579738010
64,road town,18.42,-64.62,80.6,78,40,11.41,VG,1579737762
65,chino valley,34.76,-112.45,57.99,53,1,6.93,US,1579738011
66,tiksi,71.69,128.87,-27.42,87,65,4.65,RU,1579738011
67,porto torres,40.84,8.4,53.6,71,73,8.05,IT,1579738012
68,scarborough,54.28,-0.4,43.0,100,90,1.12,GB,1579737947
69,vao,-22.67,167.48,76.95,76,51,15.39,NC,1579738012
70,praia da vitoria,38.73,-27.07,57.2,76,90,19.19,PT,1579738012
71,paptalaya,15.5,-84.32,75.2,94,75,17.22,HN,1579738012
72,saint-philippe,-21.36,55.77,78.8,94,90,12.75,RE,1579738012
73,berlevag,70.86,29.09,24.8,62,75,26.4,NO,1579738016
74,lavrentiya,65.58,-171.0,-9.36,90,100,5.46,RU,1579738016
75,ilulissat,69.22,-51.1,12.2,78,100,17.22,GL,1579738016
76,stromness,58.97,-3.3,48.2,81,100,29.97,GB,1579738016
77,bowen,-20.02,148.23,87.01,74,40,2.24,AU,1579738016
78,chuy,-33.7,-53.46,70.2,81,0,9.53,UY,1579738017
79,dutse,11.76,9.34,64.9,18,0,10.25,NG,1579738017
80,bethel,41.37,-73.41,32.0,68,1,0.81,US,1579738017
81,lindas,60.74,5.16,39.99,100,75,23.04,NO,1579738017
82,kaitangata,-46.28,169.85,58.08,79,43,16.22,NZ,1579738017
83,kabo,7.7,18.63,67.42,16,29,4.07,CF,1579738018
84,nishihara,26.18,127.76,68.0,82,75,6.93,JP,1579738018
85,grand-santi,4.25,-54.38,76.68,65,30,3.42,GF,1579738019
86,santa rosa,14.31,121.11,79.0,78,40,6.93,PH,1579738019
87,kahului,20.89,-156.47,80.6,50,40,4.7,US,1579738019
88,saldanha,-33.01,17.94,68.0,64,1,5.82,ZA,1579738020
89,rio gallegos,-51.62,-69.22,51.8,66,90,6.93,AR,1579738020
90,broken hill,-31.95,141.43,75.2,33,87,20.8,AU,1579738020
91,bredasdorp,-34.53,20.04,64.0,87,0,4.7,ZA,1579738020
92,kushiro,42.98,144.37,24.8,100,20,2.24,JP,1579738020
93,aksarka,66.56,67.8,6.82,94,100,8.52,RU,1579738021
94,oranjestad,12.52,-70.03,80.6,78,20,10.29,AW,1579738021
95,canala,-21.53,165.95,89.6,43,30,11.41,NC,1579738021
96,tarascon,43.81,4.66,48.2,56,70,9.17,FR,1579738021
97,lasa,46.62,10.7,35.01,58,0,5.82,IT,1579737790
98,bumbuna,9.05,-11.73,74.55,69,100,2.75,SL,1579738022
99,castro,-24.79,-50.01,58.77,92,100,8.5,BR,1579738022
100,shuyskoye,59.37,41.03,21.29,85,99,9.51,RU,1579738022
101,marawi,8.0,124.29,75.99,95,98,1.99,PH,1579738022
102,hilo,19.73,-155.09,80.6,54,40,11.41,US,1579738022
103,mantua,45.17,10.78,42.01,92,0,3.36,IT,1579738023
104,vila velha,-20.33,-40.29,73.4,100,90,4.7,BR,1579738023
105,neuruppin,52.93,12.8,41.0,96,40,2.24,DE,1579738023
106,qaanaaq,77.48,-69.36,-10.16,50,11,7.14,GL,1579738023
107,gravelbourg,49.88,-106.55,29.44,89,100,5.55,CA,1579738023
108,yellowknife,62.46,-114.35,5.0,84,90,10.29,CA,1579738023
109,saint anthony,45.02,-93.22,35.01,86,90,5.82,US,1579738024
110,kalemie,-5.95,29.19,63.07,97,100,4.18,CD,1579738024
111,nemuro,43.32,145.57,30.2,63,40,5.82,JP,1579737755
112,marfino,55.7,37.38,30.99,86,75,8.95,RU,1579738024
113,vilhena,-12.74,-60.15,73.4,100,75,10.29,BR,1579738024
114,tasiilaq,65.61,-37.64,19.4,73,22,33.33,GL,1579738025
115,dzhuryn,49.03,25.58,35.01,83,64,11.01,UA,1579738025
116,boa vista,2.82,-60.67,87.8,48,20,5.82,BR,1579738025
117,cayenne,4.93,-52.33,73.4,88,44,3.53,GF,1579738025
118,shingu,33.73,135.98,60.8,93,75,12.75,JP,1579738025
119,eirunepe,-6.66,-69.87,79.77,78,71,2.15,BR,1579738023
120,kyzyl-suu,42.34,78.0,21.13,94,100,11.97,KG,1579738026
121,calexico,32.68,-115.5,69.8,32,20,2.71,US,1579738026
122,torbay,47.67,-52.73,23.0,73,90,10.29,CA,1579738026
123,yaan,7.38,8.57,76.8,18,46,5.26,NG,1579738026
124,elizabethton,36.35,-82.21,37.99,59,1,3.36,US,1579738026
125,bundi,25.44,75.64,49.64,62,21,4.43,IN,1579738027
126,kampong chhnang,12.17,104.55,72.05,85,58,6.11,KH,1579738027
127,hamilton,39.18,-84.53,35.6,55,1,3.36,US,1579737869
128,kodiak,57.79,-152.41,26.6,58,20,6.93,US,1579738027
129,igrim,63.19,64.42,16.48,93,100,9.33,RU,1579738027
130,tazovskiy,67.47,78.7,-2.25,94,100,13.73,RU,1579738028
131,banepa,27.63,85.52,35.6,100,20,3.36,NP,1579738028
132,santa vitoria do palmar,-33.52,-53.37,70.2,81,0,9.53,BR,1579738028
133,vaini,-21.2,-175.2,82.4,78,75,12.75,TO,1579738028
134,koumac,-20.57,164.28,83.16,54,16,2.62,NC,1579738029
135,southbridge,42.08,-72.03,28.4,53,1,9.17,US,1579738029
136,husavik,66.04,-17.34,33.8,69,75,40.26,IS,1579738029
137,leningradskiy,69.38,178.42,-19.12,93,72,4.41,RU,1579738029
138,smithers,54.78,-127.17,30.2,92,90,3.36,CA,1579737995
139,teya,60.38,92.63,-10.35,98,72,4.7,RU,1579738030
140,ngorongoro,-3.24,35.49,62.22,88,97,2.15,TZ,1579738030
141,bonfim,3.08,-59.95,83.35,49,68,5.61,BR,1579738030
142,norman wells,65.28,-126.83,-5.8,70,75,2.24,CA,1579738030
143,touros,-5.2,-35.46,82.4,74,20,9.17,BR,1579738030
144,lompoc,34.64,-120.46,69.01,100,90,10.29,US,1579738031
145,sibsagar,26.98,94.63,55.4,100,75,6.02,IN,1579738031
146,pevek,69.7,170.31,-17.23,99,100,3.6,RU,1579738031
147,vila franca do campo,37.72,-25.43,55.4,76,75,5.82,PT,1579738031
148,caravelas,-17.71,-39.25,78.03,88,100,28.05,BR,1579738031
149,ponta do sol,32.67,-17.1,55.4,62,20,5.82,PT,1579738031
150,sandi,27.3,79.95,48.33,79,0,8.23,IN,1579738032
151,vostok,46.49,135.88,0.12,90,43,4.18,RU,1579738032
152,tuatapere,-46.13,167.68,64.0,73,80,14.0,NZ,1579738032
153,khorixas,-20.37,14.97,69.8,43,0,5.19,NA,1579738035
154,biak,-0.91,122.88,81.19,73,100,5.3,ID,1579738035
155,hualmay,-11.1,-77.61,70.88,79,98,2.77,PE,1579738036
156,willowmore,-33.29,23.49,56.32,85,90,6.33,ZA,1579738036
157,idrinskoye,54.37,92.14,7.34,96,100,3.11,RU,1579738036
158,quthing,-30.4,27.7,58.41,71,0,6.31,LS,1579738036
159,johnstown,40.33,-78.92,32.0,46,1,5.82,US,1579737754
160,hay river,60.82,-115.8,19.4,92,75,8.05,CA,1579738037
161,pisco,-13.7,-76.22,73.0,30,90,4.7,PE,1579738037
162,umm lajj,25.02,37.27,53.49,33,0,9.62,SA,1579738037
163,karonga,-9.93,33.93,72.37,92,100,8.77,MW,1579738037
164,jensen beach,27.25,-80.23,59.0,100,75,8.05,US,1579738005
165,sao filipe,14.9,-24.5,70.47,79,50,7.58,CV,1579738038
166,san andres,12.58,-81.7,80.6,69,75,14.99,CO,1579738038
167,wuwei,37.93,102.64,17.29,57,100,0.56,CN,1579738038
168,grand gaube,-20.01,57.66,79.0,94,75,11.41,MU,1579738039
169,methven,-43.63,171.65,69.01,67,27,8.41,NZ,1579738039
170,cherskiy,68.75,161.3,-32.19,96,100,5.57,RU,1579738039
171,nome,64.5,-165.41,6.8,84,90,7.38,US,1579738039
172,santos dumont,-21.46,-43.55,68.0,82,90,4.7,BR,1579737902
173,katsuura,35.13,140.3,45.0,70,90,6.93,JP,1579738039
174,walvis bay,-22.96,14.51,66.0,93,0,2.24,NA,1579738040
175,ahuimanu,21.44,-157.84,80.6,61,20,4.7,US,1579738040
176,provideniya,64.38,-173.3,-4.0,70,0,1.66,RU,1579738040
177,kurtamysh,54.91,64.43,26.91,92,100,16.73,RU,1579738040
178,narsaq,60.92,-46.05,17.6,72,75,5.82,GL,1579738040
179,ballina,-28.87,153.57,86.0,83,97,14.99,AU,1579738041
180,duluth,46.78,-92.11,33.01,100,90,2.98,US,1579737936
181,mackenzie,55.3,-123.17,28.4,92,90,10.29,CA,1579738001
182,urucui,-7.23,-44.56,74.01,85,98,2.68,BR,1579738009
183,portland,45.52,-122.68,53.01,81,90,8.05,US,1579737941
184,pacific grove,36.62,-121.92,64.99,72,1,9.48,US,1579738041
185,itapirapua,-15.82,-50.61,72.07,98,100,4.25,BR,1579738042
186,mareeba,-17.0,145.43,91.99,66,40,3.36,AU,1579738042
187,bathsheba,13.22,-59.52,77.0,78,75,16.11,BB,1579737999
188,cidreira,-30.18,-50.21,71.92,81,100,14.61,BR,1579738042
189,thanh hoa,19.8,105.77,71.64,86,62,6.96,VN,1579737817
190,sao joao da barra,-21.64,-41.05,75.24,88,33,4.29,BR,1579738042
191,samarai,-10.62,150.67,89.91,56,6,1.92,PG,1579737749
192,quatre cocos,-20.21,57.76,79.0,94,75,11.41,MU,1579738043
193,vila praia de ancora,41.81,-8.85,53.01,76,100,3.36,PT,1579738043
194,itarema,-2.92,-39.92,76.95,90,97,3.62,BR,1579738043
195,aracaju,-10.91,-37.07,82.4,65,40,17.22,BR,1579737877
196,madimba,-10.4,40.33,77.74,80,100,5.84,TZ,1579738044
197,nimaparha,20.07,86.02,66.2,100,40,3.65,IN,1579738044
198,laguna,38.42,-121.42,63.0,77,75,4.7,US,1579738044
199,carnarvon,-24.87,113.63,71.6,64,0,23.04,AU,1579738044
200,ende,-8.84,121.66,82.56,74,1,4.07,ID,1579738045
201,carutapera,-1.2,-46.02,81.84,80,91,19.64,BR,1579738045
202,tuktoyaktuk,69.45,-133.04,-13.0,75,75,6.93,CA,1579738045
203,isla vista,34.41,-119.86,69.01,63,1,11.41,US,1579738045
204,airai,-8.93,125.41,76.15,65,32,1.99,TL,1579738045
205,henties bay,-22.12,14.28,66.0,93,0,1.99,NA,1579738046
206,chimoio,-19.12,33.48,63.48,95,76,1.97,MZ,1579738046
207,oruro,-17.98,-67.15,50.25,71,94,15.12,BO,1579738046
208,barrow,71.29,-156.79,-2.2,77,90,11.41,US,1579738046
209,ambilobe,-13.2,49.05,78.12,89,100,10.96,MG,1579738049
210,kayseri,38.74,35.5,15.8,92,0,3.0,TR,1579738049
211,san patricio,19.22,-104.7,86.0,74,75,11.41,MX,1579738050
212,lloydminster,53.28,-110.0,21.2,92,90,10.29,CA,1579738050
213,casper,42.87,-106.31,33.8,80,75,12.75,US,1579738050
214,cap malheureux,-19.98,57.61,79.0,94,75,11.41,MU,1579738053
215,dergachi,51.23,48.77,24.67,95,100,7.61,RU,1579738053
216,saint-georges,12.06,-61.75,78.8,78,20,9.17,GD,1579737972
217,chokurdakh,70.63,147.92,-20.96,97,100,8.68,RU,1579738054
218,longyearbyen,78.22,15.64,-0.4,59,0,14.99,SJ,1579738054
219,victoria,22.29,114.16,69.8,88,20,4.7,HK,1579738054
220,upernavik,72.79,-56.15,0.59,93,100,8.25,GL,1579738055
221,saskylakh,71.92,114.08,-39.75,94,0,8.34,RU,1579738055
222,shimoda,34.67,138.95,51.8,93,75,4.7,JP,1579738055
223,slave lake,55.28,-114.77,26.6,92,1,4.7,CA,1579738055
224,thompson,55.74,-97.86,-0.4,77,20,2.24,CA,1579738055
225,faanui,-16.48,-151.75,82.69,75,100,13.4,PF,1579738056
226,alofi,-19.06,-169.92,86.0,58,40,9.17,NU,1579738056
227,zapolyarnyy,69.42,30.81,23.0,73,40,29.97,RU,1579738056
228,gambo,4.65,22.26,69.78,32,75,4.63,CF,1579738057
229,telica,12.52,-86.86,86.0,48,0,4.7,NI,1579738057
230,bubaque,11.28,-15.83,78.13,63,100,16.11,GW,1579738057
231,ketchikan,55.34,-131.65,42.8,81,90,26.4,US,1579738057
232,bonavista,48.65,-53.11,19.0,82,98,1.99,CA,1579738057
233,general roca,-39.03,-67.58,93.2,32,0,9.17,AR,1579738060
234,codo,-4.46,-43.89,74.43,97,86,2.57,BR,1579738061
235,jaen,38.0,-3.5,48.0,82,73,3.0,ES,1579738064
236,cabo san lucas,22.89,-109.91,73.99,68,75,11.41,MX,1579738053
237,kenda,23.2,86.53,63.9,51,39,4.88,IN,1579738064
238,valdepenas,38.76,-3.38,41.0,93,19,3.0,ES,1579738064
239,tambopata,-12.73,-69.18,33.8,100,75,2.24,PE,1579738064
240,luwuk,-0.95,122.79,81.19,73,100,5.3,ID,1579738025
241,atuona,-9.8,-139.03,81.14,73,17,11.5,PF,1579738065
242,velingrad,42.03,24.0,46.4,16,5,29.97,BG,1579738065
243,birjand,32.87,59.22,41.0,75,75,18.34,IR,1579738065
244,innisfail,-17.53,146.03,84.99,61,68,5.99,AU,1579738065
245,avenal,36.0,-120.13,64.4,67,90,8.05,US,1579738066
246,estacion coahuila,32.19,-115.0,69.8,40,5,4.7,MX,1579738066
247,salantai,56.07,21.57,39.2,69,0,5.82,LT,1579738066
248,launceston,-41.45,147.17,55.99,100,75,13.87,AU,1579738066
249,dingle,11.0,122.67,74.28,82,2,12.5,PH,1579738066
250,abu samrah,35.3,37.18,40.21,79,0,9.6,SY,1579738067
251,kavieng,-2.57,150.8,83.23,79,0,12.24,PG,1579738067
252,milkovo,54.72,158.62,-1.89,86,0,1.01,RU,1579738067
253,pachino,36.72,15.09,51.8,81,73,3.36,IT,1579738067
254,nipawin,53.37,-104.0,17.6,92,90,4.7,CA,1579738067
255,rafaela,-31.25,-61.49,80.01,53,0,3.0,AR,1579738068
256,mercedes,-34.65,-59.43,80.01,77,0,1.99,AR,1579737810
257,prince rupert,54.32,-130.32,44.6,75,90,10.29,CA,1579738071
258,arraial do cabo,-22.97,-42.03,78.8,78,20,6.93,BR,1579738071
259,palatka,29.65,-81.64,55.0,53,90,8.05,US,1579737853
260,esperance,-33.87,121.9,60.8,72,40,14.99,AU,1579738072
261,kununurra,-15.77,128.73,84.2,74,85,9.35,AU,1579738072
262,bull savanna,17.89,-77.59,64.27,87,68,9.98,JM,1579738072
263,fare,-16.7,-151.02,82.65,76,100,12.91,PF,1579738072
264,cascais,38.7,-9.42,48.99,100,75,9.17,PT,1579738073
265,mundo nuevo,18.7,-95.5,69.24,85,19,1.52,MX,1579738073
266,kilindoni,-7.91,39.67,81.88,81,100,8.32,TZ,1579738074
267,gulabpura,25.9,74.67,49.39,57,70,5.03,IN,1579738074
268,lodja,-3.48,23.43,71.28,92,100,1.43,CD,1579738074
269,george,-33.96,22.46,59.0,93,40,3.36,ZA,1579738074
270,inhambane,-23.86,35.38,76.66,67,73,8.97,MZ,1579738074
271,dudinka,69.41,86.18,-4.0,76,75,22.37,RU,1579738075
272,lata,40.16,-8.33,48.2,93,40,1.12,PT,1579738075
273,matara,5.95,80.54,73.71,89,43,5.88,LK,1579738075
274,jinxiang,22.86,115.7,69.01,87,22,2.64,CN,1579738075
275,tomatlan,19.93,-105.25,79.14,53,29,5.14,MX,1579738075
276,coffs harbour,-30.3,153.13,91.0,59,8,14.99,AU,1579738075
277,ambulu,-8.35,113.61,80.71,79,37,4.18,ID,1579738076
278,cabo rojo,18.09,-67.15,79.0,84,75,5.82,PR,1579738076
279,coahuayana,18.73,-103.68,78.8,74,40,17.22,MX,1579738076
280,barguzin,53.62,109.62,-10.77,97,95,4.65,RU,1579738076
281,morro bay,35.37,-120.85,66.0,93,90,8.05,US,1579738076
282,bjornevatn,69.67,29.98,23.0,73,40,29.97,NO,1579738077
283,yenagoa,4.92,6.26,78.82,81,83,3.42,NG,1579738077
284,middleton,53.55,-2.2,45.0,100,90,2.24,GB,1579738077
285,okhotsk,59.38,143.3,-22.0,70,0,6.58,RU,1579738077
286,sembe,1.65,14.58,71.15,59,100,3.58,CG,1579738078
287,peru,40.75,-86.07,32.0,57,1,5.82,US,1579738078
288,yamada,39.47,141.95,40.33,75,100,7.38,JP,1579738078
289,kosikha,53.36,84.58,19.4,85,75,13.42,RU,1579738078
290,japura,-0.32,102.35,74.23,96,59,0.92,ID,1579738078
291,pacifica,37.61,-122.49,64.0,87,1,10.29,US,1579738079
292,tanout,14.97,8.89,63.72,15,72,13.94,NE,1579738079
293,nardaran,40.56,50.01,42.8,60,24,18.34,AZ,1579738080
